GEOID,NAMELSAD,ALAND,Shape_Leng,Shape_Area,Pop_Fa100,Pop_Fa500,Pop_Fe100,Pop_evac,Pop_NSF,Fa100_TP,Fa100_FP,Fa100_TN,Fa100_FN,Fa100_acc,Fa100_pre,Fa100_rec,Fa500_TP,Fa500_FP,Fa500_TN,Fa500_FN,Fa500_acc,Fa500_pre,Fa500_rec,Fe100_TP,Fe100_FP,Fe100_TN,Fe100_FN,Fe100_acc,Fe100_pre,Fe100_rec,Evac_TP,Evac_FP,Evac_TN,Evac_FN,Evac_acc,Evac_pre,Evac_rec,SoVI_S,FepreS,FeaccS,FerecS,Evac_preS,Evac_accS,Evac_recS,elderly,avghouse,female,kid,unemployed,house75k,poverty,rental,mobile,femalehous,nodiploma,labor,femalelab,medage,income,medhome,medrent,SSrecip,white,black,amerind,asian,hawaiian,hispanic,primaryemp,transemp,serviceemp,housesqml,SoVI_Score,SoVI_Q,SoVI_QS,SoVI_SD,SoVI_SDS,source
1.2103E+11,Block Group 1,695612,10201.47867,932382.825,56,126,1539,682,652,12,1,1089,146,0.882211538,0.923076923,0.075949367,25,1,1089,133,0.892628205,0.961538462,0.158227848,153,206,884,5,0.830929487,0.426183844,0.96835443,124,45,1045,34,0.936698718,0.733727811,0.784810127,4,2,1,2,3,2,3,59.65473146,63.74680307,64.76982097,2.301790281,2.372262774,17.05115346,0.639386189,13.13941825,23.23858187,3.811434303,17.32736573,35.03836317,60.18691589,60.8,32864,135200,929,66.39919759,78.90025575,2.557544757,1.377104786,10.74168798,1.894020343,1.726342711,4.339774277,2.144772118,17.15817694,3712.173715,5.562343428,4,Very High,5.562343428,Very High,Long_floodpop_matrix
1.2103E+11,Block Group 1,2016347,27895.65389,2944253.558,87,219,2210,1196,1222,29,4,3348,451,0.881263048,0.878787879,0.060416667,75,10,3342,405,0.891701461,0.882352941,0.15625,479,482,2870,1,0.873956159,0.498439126,0.997916667,393,148,3204,87,0.938674322,0.726432532,0.81875,3,2,1,4,3,3,4,36.96369637,42.33851957,50.73078736,3.913248468,2.52016129,46.21380846,2.168788307,25.27839644,1.031894934,7.906458797,4.479019331,46.77039132,49.74146846,54.4,53997,424500,1025,42.0935412,70.34417727,6.553512494,1.361787918,4.71475719,5.657708628,16.73738802,1.034126163,1.146131805,9.455587393,1153.483168,2.387517545,4,Very High,2.387517545,High,Long_floodpop_matrix
1.2103E+11,Block Group 1,417760,9787.481529,534388.6193,104,103,1355,1121,1124,12,5,550,202,0.730819246,0.705882353,0.056074766,18,12,543,196,0.729518856,0.6,0.08411215,214,33,522,0,0.957087126,0.866396761,1,185,24,531,29,0.931079324,0.885167464,0.864485981,3,4,3,4,4,2,4,71.93292145,61.2533098,48.36716681,4.433481186,5.893198291,42.50720461,2.417008628,12.39193084,22.8876497,10.98989652,6.266548985,32.1270962,40.10989011,69.9,63079,250600,1788,65.70605187,89.58517211,2.383053839,1.321927043,7.590467785,2.01324624,1.235657546,5.769230769,3.816793893,9.541984733,4302.618244,1.203810346,3,High,1.203810346,Moderate,Long_floodpop_matrix
1.2103E+11,Block Group 2,778988,4283.334829,1038558.411,139,120,483,194,234,15,31,1153,52,0.933653078,0.326086957,0.223880597,12,33,1151,55,0.929656275,0.266666667,0.179104478,67,119,1065,0,0.904876099,0.360215054,1,37,50,1134,30,0.936051159,0.425287356,0.552238806,3,1,2,4,1,2,3,51.42594296,48.48206072,47.74609016,5.611775529,2.765957447,39.4686907,0.919963201,10.056926,6.006493506,4.933586338,4.875804968,43.23827047,47.04595186,58.5,39414,315300,883,49.71537002,84.17663293,4.323827047,0.643974241,9.567617295,0.367985281,3.495860166,2.188183807,5.904052152,12.37458194,1752.185355,-1.973377415,1,Low,-1.973377415,Low,Long_floodpop_matrix
1.2103E+11,Block Group 3,1128791,12779.27851,1528842.199,8,16,509,385,391,3,0,595,113,0.841068917,1,0.025862069,7,1,594,109,0.845288326,0.875,0.060344828,116,45,550,0,0.936708861,0.720496894,1,98,14,581,18,0.954992968,0.875,0.844827586,1,4,3,4,4,3,4,37.07274321,41.71779141,50.13146363,7.449605609,5.415860735,70.37815126,2.389263294,26.43973781,23.22829412,1.890756303,1.139351446,45.31113059,37.21881391,50,68199,428300,,49.3697479,95.61787905,1.840490798,1.316229264,5.814503615,2.059683027,1.66520596,4.11342788,5.949107511,8.163265306,1092.178475,-3.08141612,0,Very Low,-3.08141612,Low,Long_floodpop_matrix
1.2103E+11,Block Group 1,668958,5315.97981,866459.1973,98,128,115,14,77,0,49,987,25,0.930254477,0,0,0,78,958,25,0.902921772,0,0,18,21,1015,7,0.973609802,0.461538462,0.72,9,0,1036,16,0.984919887,1,0.36,2,2,4,1,4,4,2,23.01854975,48.48229342,52.69814503,0.84317032,1.958525346,48.17391304,1.686340641,26.95652174,11.73633441,9.217391304,0.927487352,73.18718381,50.8353222,42.1,44950,233600,1926,22.95652174,92.83305228,2.529510961,1.361563122,4.13153457,2.080767979,8.094435076,1.789976134,5.831674133,1.617647059,2226.225696,-4.416819793,0,Very Low,-4.416819793,Low,Long_floodpop_matrix
1.2103E+11,Block Group 2,1114366,8580.840925,1448940.871,170,197,103,64,79,6,57,1682,34,0.948847667,0.095238095,0.15,5,73,1666,35,0.939291737,0.064102564,0.125,35,17,1722,5,0.987633502,0.673076923,0.875,21,14,1725,19,0.981450253,0.6,0.525,2,3,4,1,2,4,2,28.43317972,38.20276498,51.42857143,0.599078341,3.317535545,43.30518697,0.322580645,33.05186972,11.9140625,25.33172497,12.53456221,58.34101382,46.52892562,38.2,34926,261900,1478,39.80699638,79.9078341,10.23041475,1.371859447,1.520737327,2.108397504,12.35023041,0.495867769,1.844532279,11.33069829,1926.756691,-0.907624768,2,Moderate,-0.907624768,Moderate,Long_floodpop_matrix
1.2103E+11,Block Group 2,631486,6482.698711,801692.108,41,182,508,32,324,13,11,851,131,0.858846918,0.541666667,0.090277778,52,32,830,92,0.876739563,0.619047619,0.361111111,138,82,780,6,0.912524851,0.627272727,0.958333333,6,5,857,138,0.857852883,0.545454545,0.041666667,4,3,2,2,1,1,1,65.31100478,59.68899522,57.29665072,4.608400935,10.83333333,12.2244489,2.153110048,15.23046092,67.28167282,7.014028056,9.56937799,43.06220096,64.79750779,63.8,25156,120000,923,64.72945892,83.73205742,3.708133971,0.598086124,5.502392344,2.118968841,6.937799043,4.206488795,11.5,28.5,2046.619074,2.511243078,4,Very High,2.511243078,High,Long_floodpop_matrix
1.2103E+11,Block Group 1,2458475,15715.22628,3216154.237,8,24,147,184,80,4,1,3869,48,0.987506374,0.8,0.076923077,13,3,3867,39,0.989291178,0.8125,0.25,51,46,3824,1,0.988016318,0.525773196,0.980769231,50,72,3798,2,0.981132075,0.409836066,0.961538462,2,2,4,3,1,4,4,23.20916905,47.27793696,38.96848138,4.011461318,2.083333333,53.93939394,1.862464183,57.72727273,12.72965879,1.515151515,3.653295129,55.01432665,42.95212766,44.3,52576,213200,1838,27.12121212,87.17765043,3.581661891,1.34726922,3.366762178,1.928671235,2.220630372,1.728723404,6.132932276,15.94202899,695.3097792,-3.971983525,0,Very Low,-3.971983525,Low,Long_floodpop_matrix
1.2103E+11,Block Group 1,996156,8010.411981,1351104.262,41,151,463,260,183,5,22,1545,77,0.939963614,0.185185185,0.06097561,32,32,1535,50,0.950272893,0.5,0.390243902,80,113,1454,2,0.930260764,0.414507772,0.975609756,57,58,1509,25,0.949666465,0.495652174,0.695121951,1,1,3,2,1,3,3,24.95201536,32.43761996,44.7696737,9.069097889,4.11558669,56.06508876,3.02303263,13.46153846,23.36947124,5.029585799,2.399232246,54.79846449,32.78538813,44.4,39094,362200,2139,32.69230769,75.9596929,12.33205374,1.396790468,7.629558541,1.954409983,3.646833013,3.652968037,4.333333333,8.333333333,1757.597957,-3.538970487,0,Very Low,-3.538970487,Low,Long_floodpop_matrix
1.2103E+11,Block Group 2,2035251,9047.525656,3155695.121,119,373,392,141,182,25,24,3463,170,0.947311244,0.510204082,0.128205128,139,77,3410,56,0.963878327,0.643518519,0.712820513,177,81,3406,18,0.973112439,0.686046512,0.907692308,155,43,3444,40,0.977457903,0.782828283,0.794871795,2,3,4,1,3,4,4,36.21867882,44.57099468,41.53378891,6.833712984,3.610108303,49.40374787,2.429764617,42.24872232,7.641633729,10.56218058,4.859529233,42.06529992,44.56928839,57.2,46148,366400,1459,47.70017036,72.36142749,7.82080486,1.42981437,13.66742597,1.895629356,3.113135915,4.307095182,6.202153704,13.16526611,746.9995201,-0.766987807,2,Moderate,-0.766987807,Moderate,Long_floodpop_matrix
1.2103E+11,Block Group 1,520358,3371.460796,669248.1774,26,180,397,0,119,2,6,755,29,0.955808081,0.25,0.064516129,18,43,718,13,0.929292929,0.295081967,0.580645161,30,72,689,1,0.907828283,0.294117647,0.967741935,0,0,761,31,0.960858586,0,0,2,1,2,2,1,3,1,15.80357143,33.39285714,40.44642857,11.78571429,3.541666667,41.71122995,1.875,16.31016043,24.15171378,9.35828877,5.714285714,42.85714286,46.22030238,28.6,27293,237000,1924,25.93582888,90.71428571,9.344741559,1.383503987,4.375,2.018325776,5,4.193161603,0.501253133,5.764411028,1861.527965,-1.622550287,1,Low,-1.622550287,Low,Long_floodpop_matrix
1.2103E+11,Block Group 3,602658,3605.944295,788452.9511,207,424,1394,434,818,61,13,675,168,0.80261723,0.824324324,0.266375546,100,53,635,129,0.801526718,0.653594771,0.436681223,227,218,470,2,0.760087241,0.51011236,0.991266376,91,18,670,138,0.829880044,0.834862385,0.397379913,4,2,1,3,4,1,2,55.01592357,44.58598726,61.30573248,3.025477707,3.529411765,33.39285714,2.543512099,9.464285714,15.01547988,12.5,1.671974522,47.37261146,57.32142857,58.1,38721,146100,1411,55.71428571,88.21656051,3.742038217,1.374492737,6.11284578,1.976360658,8.280254777,4.286093654,7.077625571,16.36084264,2406.674184,0.881682792,3,High,0.881682792,Moderate,Long_floodpop_matrix
1.2103E+11,Block Group 1,1279202,6463.989187,1695820.907,111,458,956,174,457,28,10,820,118,0.868852459,0.736842105,0.191780822,105,45,785,41,0.911885246,0.7,0.719178082,144,149,681,2,0.845286885,0.491467577,0.98630137,51,8,822,95,0.894467213,0.86440678,0.349315068,2,2,1,3,4,1,2,37.88793103,31.98275862,54.18103448,1.896551724,3.153526971,57.27762803,2.583803251,8.221024259,24.29776989,10.51212938,3.060344828,51.93965517,49.35732648,53.9,44468,317300,,33.55795148,92.5,0.646551724,1.444455131,2.155172414,2.066161871,11.76724138,2.05655527,1.215066829,13.00121507,1502.328734,-1.495694545,1,Low,-1.495694545,Moderate,Long_floodpop_matrix
1.2103E+11,Block Group 2,2122629,9092.661825,2895014.102,201,307,126,3,65,12,85,3303,19,0.969581749,0.12371134,0.387096774,21,122,3266,10,0.96139222,0.146853147,0.677419355,20,41,3347,11,0.984790875,0.327868852,0.64516129,0,1,3387,31,0.990640538,0,0,1,1,4,1,1,4,1,33.92747388,44.86785495,55.56238476,7.49846343,6.128842831,76.98630137,4.732636755,31.01485107,23.58450806,1.369863014,4.486785495,46.46588814,50.92592593,50.3,70562,555800,,34.79452055,78.48801475,10.41678793,1.463841031,8.85064536,1.965481766,9.09649662,4.322546377,6.16957736,9.052631579,890.7359179,-1.160594846,1,Low,-1.160594846,Moderate,Long_floodpop_matrix
1.2103E+11,Block Group 2,3156282,13555.41082,4393737.789,347,971,1790,1105,1333,186,16,4507,449,0.909848779,0.920792079,0.292913386,397,67,4456,238,0.940868554,0.855603448,0.62519685,630,245,4278,5,0.951531601,0.72,0.992125984,465,84,4439,170,0.950756107,0.846994536,0.732283465,1,4,3,3,4,3,3,30.96374046,46.75572519,47.56679389,1.95610687,0.6271777,69.28571429,2.506055477,36.12244898,3.278688525,9.591836735,2.86259542,68.46374046,44.10939691,35.6,66520,285000,3501,38.46938776,78.72137405,9.685114504,1.350580361,2.910305344,2.11986084,9.398854962,4.978962132,2.693602694,2.356902357,804.1748292,-4.665534298,0,Very Low,-4.665534298,Very Low,Long_floodpop_matrix
1.2103E+11,Block Group 4,875510,4570.715637,1152056.478,319,812,762,27,304,39,43,1178,39,0.936874519,0.475609756,0.5,75,161,1060,3,0.873749038,0.31779661,0.961538462,75,131,1090,3,0.896843726,0.36407767,0.961538462,0,9,1212,78,0.933025404,0,0,1,1,1,2,1,2,1,24.87288136,37.5,49.78813559,7.457627119,4.45505171,58.53107345,2.555579603,1.468926554,37.19758065,12.65536723,5.974576271,53.26271186,54.62114904,42.3,38779,246000,,35.02824859,56.01694915,3.177966102,1.46366027,33.34745763,1.980126866,3.983050847,4.258963453,1.867413632,5.975723623,2618.076655,0.460245468,2,Moderate,0.460245468,Moderate,Long_floodpop_matrix
1.2103E+11,Block Group 2,359490,6342.308736,446091.1864,45,64,1039,807,852,7,2,427,166,0.720930233,0.777777778,0.040462428,4,13,416,169,0.697674419,0.235294118,0.023121387,173,44,385,0,0.926910299,0.797235023,1,138,34,395,35,0.88538206,0.802325581,0.797687861,3,4,2,4,3,1,4,55.27950311,58.54037267,43.47826087,0.931677019,7.317073171,46.41909814,1.552795031,42.97082228,22.01394351,11.21832316,3.260869565,44.56521739,51.87969925,62.4,57988,490400,1299,48.01061008,98.13664596,8.815537497,1.247079681,5.980325848,2.104187788,2.48447205,4.135338346,5.749250487,9.937888199,2716.156156,-1.129051339,1,Low,-1.129051339,Moderate,Long_floodpop_matrix
1.2103E+11,Block Group 2,346150,4212.405102,474729.1399,161,302,1573,262,506,11,16,513,77,0.849270665,0.407407407,0.125,32,18,511,56,0.88006483,0.64,0.363636364,86,207,322,2,0.661264182,0.293515358,0.977272727,35,19,510,53,0.883306321,0.648148148,0.397727273,4,1,1,3,2,1,2,80.65083553,60.68601583,64.73175022,4.769086905,10.04901961,27.10144928,2.55057168,11.15942029,24.06739412,7.246376812,6.596306069,35.88390501,66.48501362,72,43819,168300,1176,78.84057971,96.56992084,1.055408971,1.34145006,0.35180299,1.914897853,5.628847845,4.300414884,6.049959663,6.451612903,5162.79586,3.831655072,4,Very High,3.831655072,High,Long_floodpop_matrix
1.2103E+11,Block Group 2,849274,5871.214841,1106653.961,17,37,333,18,275,4,4,1175,158,0.879194631,0.5,0.024691358,8,9,1170,154,0.878448919,0.470588235,0.049382716,150,66,1113,12,0.941834452,0.694444444,0.925925926,12,6,1173,150,0.883668904,0.666666667,0.074074074,4,3,3,1,3,1,1,61.87554777,58.10692375,48.81682734,1.402278703,4.793028322,32.2775264,2.506774887,24.13273002,34.98896247,3.770739065,6.485539001,40.22787029,35.6979405,64.8,43300,,975,62.44343891,96.23137599,2.45398773,1.314636284,6.507767678,1.985481141,0.701139351,14.41647597,6.089385281,42.26804124,2021.928985,3.435727804,4,Very High,3.435727804,High,Long_floodpop_matrix
1.2103E+11,Block Group 1,1343230,17336.41394,1768114.83,191,341,2137,813,1780,58,31,1450,738,0.662274923,0.651685393,0.072864322,110,59,1422,686,0.672815108,0.650887574,0.138190955,796,163,1318,0,0.928414581,0.830031283,1,282,82,1399,514,0.738252086,0.774725275,0.354271357,3,3,2,1,2,1,1,56.74882629,46.12676056,50.7629108,2.9342723,10.42016807,44.65648855,3.990610329,6.234096692,49.63833635,10.81424936,5.692488263,34.91784038,36.82170543,62.3,64811,280400,1039,70.86513995,74.58920188,0.234741784,1.755768455,8.450704225,1.07403041,11.56103286,4.457364341,6.763042978,2,1515.557303,-1.055169527,1,Low,-1.055169527,Moderate,Shore_floodpop_matrix
1.2103E+11,Block Group 2,2210077,26577.46639,2927317.973,49,84,1626,1234,1099,14,7,3288,440,0.880768205,0.666666667,0.030837004,23,15,3280,431,0.881034943,0.605263158,0.050660793,454,317,2978,0,0.915444118,0.588845655,1,322,264,3031,132,0.894371832,0.549488055,0.709251101,2,1,2,1,1,3,3,37.1814093,43.62818591,51.27436282,6.296851574,3.327787022,73.19587629,2.950425172,5.154639175,20.62822778,4.639175258,7.766088191,45.05247376,46.39718805,46.2,98281,711500,,43.29896907,94.82758621,22.9395842,1.796829382,0.674662669,1.07403041,1.349325337,4.569420035,9.07079646,5.752212389,682.0493166,-4.025616696,0,Very Low,-4.025616696,Low,Shore_floodpop_matrix
1.2103E+11,Block Group 1,466469,3827.781408,631961.8034,383,1373,1798,1496,1627,84,7,288,381,0.489473684,0.923076923,0.180645161,344,18,277,121,0.817105263,0.950276243,0.739784946,465,39,256,0,0.948684211,0.922619048,1,405,32,263,60,0.878947368,0.926773455,0.870967742,4,4,3,1,4,3,4,31.46853147,63.17016317,55.4001554,4.895104895,7.300282826,30.99630996,2.945662626,35.79335793,24.3914689,13.79224918,9.945609946,45.14374514,45.43889845,44.8,50187,,1106,27.0602706,72.18337218,19.11421911,1.633553606,1.398601399,1.420999209,3.496503497,4.49540273,11.13537118,16.58649686,4514.066542,0.080675971,2,Moderate,0.080675971,Moderate,Shore_floodpop_matrix
1.2103E+11,Block Group 4,2187680,8700.152779,2920613.777,23,45,130,0,4,1,8,2693,0,0.99703923,0.111111111,1,1,14,2687,0,0.994818653,0.066666667,1,1,48,2653,0,0.982235381,0.020408163,1,0,0,2701,1,0.999629904,0,0,4,1,4,1,1,4,1,43.49680171,45.84221748,64.17910448,4.051172708,6.928890651,17.20930233,1.70575693,13.02325581,71.36563877,12.09302326,13.2196162,39.01918977,54.64480874,55.9,22804,,1083,52.09302326,80.81023454,3.624733475,1.551887766,6.665619228,1.713679527,17.91044776,4.542515272,30.25210084,18.48739496,254.5393096,-2.125155266,1,Low,-2.125155266,Low,Shore_floodpop_matrix
1.2103E+11,Block Group 2,581379,3521.954569,745973.9051,239,460,823,284,489,31,31,727,98,0.854565953,0.5,0.240310078,58,81,677,71,0.828635851,0.417266187,0.449612403,127,115,643,2,0.868094701,0.524793388,0.984496124,64,10,748,65,0.915445321,0.864864865,0.496124031,3,1,1,1,2,4,1,20.67039106,59.40409683,53.72439479,5.171979154,1.466992665,29.93730408,2.959480556,55.79937304,19.98981941,6.426332288,7.221980675,76.16387337,52.60545906,45.5,46422,261900,1262,18.33855799,84.91620112,4.189944134,1.575459005,6.859189217,1.317566861,24.48789572,2.481389578,2.992125984,15.7480315,2842.245166,0.504943099,3,High,0.504943099,Moderate,Shore_floodpop_matrix
1.2103E+11,Block Group 4,1123851,10560.07943,1566679.994,231,467,1721,1350,965,59,33,1499,346,0.804336603,0.641304348,0.145679012,130,65,1467,275,0.824470831,0.666666667,0.320987654,405,334,1198,0,0.827568405,0.548037889,1,322,263,1269,83,0.821373258,0.55042735,0.795061728,2,1,1,1,1,2,4,54.57822639,49.4592646,63.3741889,3.460706561,7.207938771,71.42857143,2.857043213,5.685131195,19.44795053,14.13757231,7.287805914,45.06128335,63.68,64.4,89327,477900,,59.62099125,91.4924297,6.488824802,1.649565649,7.064918877,1.354254666,2.162941601,2.72,3.282275711,3.719912473,1580.940691,-0.052249104,2,Moderate,-0.052249104,Moderate,Shore_floodpop_matrix
1.2103E+11,Block Group 4,7732651,71412.63628,9743921.412,3,6,92,75,84,2,0,6742,52,0.99234844,1,0.037037037,4,0,6742,50,0.992642731,1,0.074074074,54,5,6737,0,0.999264273,0.915254237,1,44,5,6737,10,0.997792819,0.897959184,0.814814815,4,4,4,1,3,4,4,16.49484536,55.15463918,55.15463918,5.271066515,1.923076923,34.26791277,0.859106529,52.3364486,7.402912621,0.934579439,7.130584192,58.07560137,43.89140271,44.3,54125,,1151,20.87227414,67.01030928,12.71477663,1.202749141,14.00343643,1.436609894,3.52233677,4.561553369,8.353221957,18.61575179,215.0338432,-1.342902856,1,Low,-1.342902856,Moderate,Shore_floodpop_matrix
